FullProduct Name ,ProductName,Edition,Status,ESUMonthly Cost,ESU YearlyCost,MainstreamEndDate,ExtendedEndDate,EndofLifeDate
Windows Server 2008 Standard,Windows Server 2008,Standard,Expired,,,"Jan 13, 2015","Jan 14, 2020","Jan 14, 2020"
Windows Server 2008 Datacenter,Windows Server 2008,Datacenter,Expired,,,"Jan 13, 2015","Jan 14, 2020","Jan 14, 2020"
Windows Server 2008 R2 Standard,Windows Server 2008 R2,Standard,Expired,,,"Jan 13, 2015","Jan 14, 2020","Jan 14, 2020"
Windows Server 2008 R2 Datacenter,Windows Server 2008 R2,Datacenter,Expired,,,"Jan 13, 2015","Jan 14, 2020","Jan 14, 2020"
Windows Server 2012 R2 Standard,Windows Server 2012 R2,Standard,ESU,,,"Oct 09, 2018","Oct 10, 2023","Oct 13, 2026"
Windows Server 2012 R2 Datacenter,Windows Server 2012 R2,Datacenter,ESU,27.50,330.00,"Oct 09, 2018","Oct 10, 2023","Oct 13, 2026"
Windows Server 2012 Standard,Windows Server 2012,Standard,ESU,4.74,4.74,"Oct 09, 2018","Oct 10, 2023","Oct 13, 2026"
Windows Server 2012 Datacenter,Windows Server 2012,Datacenter,ESU,27.50,330.00,"Oct 09, 2018","Oct 10, 2023","Oct 13, 2026"
Windows Server 2016 Standard,Windows Server 2016,Standard,Upcoming,4.74,4.74,"Jan 11, 2022","Jan 12, 2027","Jan 12, 2027"
Windows Server 2016 Datacenter,Windows Server 2016,Datacenter,Upcoming,27.50,330.00,"Jan 11, 2022","Jan 12, 2027","Jan 12, 2027"
Windows Server 2019 Standard,Windows Server 2019,Standard,OK,,,"Jan 09, 2024","Jan 09, 2029","Jan 09, 2029"
Windows Server 2019 Datacenter,Windows Server 2019,Datacenter,OK,,,"Jan 09, 2024","Jan 09, 2029","Jan 09, 2029"
Windows Server 2022 Standard,Windows Server 2022,Standard,OK,,,"Oct 13, 2026","Oct 14, 2031","Oct 14, 2031"
Windows Server 2022 Datacenter,Windows Server 2022,Datacenter,OK,,,"Oct 13, 2026","Oct 14, 2031","Oct 14, 2031"
